Artikel	Bolag	"Adr klass"	RID-S-klassificering	Klassificeringskod	Packningsgrupp	Packningsinstruktioner	"Särskilda Packningsföreskrifter"	"Särskilda Packningsinslag"	"Särskilda Föreskrifter"	Tunnelbegränsningar	"Un nummer"	Transportnamn	Varningsetikett	Miljörisk	"Föreskrift för begränsad mängd"	"Föreskrift för minskad mängd"	Flampunkt	Lastningskoder	Användarinstruktioner	Farokod	Säkerhetsbroschyr	"Länk till säkerhetsbroschyr"	IMDG-KOD	ICAO-TI	"Minsta temperatur"	Hållbarhetstid	Temperaturkänslighet	"Vikt netto"	"Volym (L)"	"Farligt gods nivå"
1000105	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000226	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000231	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000232	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000233	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000279	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000448	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000490	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000868	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000875	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000876	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000953	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000956	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000957	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000968	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000970	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000973	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000974	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000975	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000977	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000978	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000979	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000981	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000987	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000989	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000991	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000992	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000993	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000996	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000997	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1000998	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001001	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001002	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001003	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001005	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001010	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001011	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001012	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001015	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001016	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001017	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001020	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001021	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001022	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001026	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001027	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001028	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
