artikelnummer,max,pallid
10001,1.0,468426
10002,1.0,513508
1000279,240.0,680367
10003,1.0,458604
10004,1.0,468397
1000490,64.0,774252
10005,1.0,468392
10006,1.0,458631
1000868,40.0,724125
1000875,40.0,711769
10009,1.0,766977
10010,1.0,458651
10011,1.0,475218
1001254,100.0,701391
1001255,100.0,701372
1001256,65.0,701469
1001257,75.0,701458
10018,1.0,500796
10019,1.0,463879
1001900,192.0,765777
1002084,4.0,394317
1002086,4.0,778341
1002087,80.0,781832
1002112,42.0,764539
10023,1.0,458714
10026,1.0,532512
1002662,180.0,465479
1002683,96.0,796195
10031,1.0,458746
10033,2.0,526257
1003404,54.0,717028
1003411,21.0,739256
1003413,21.0,780002
1003415,21.0,773118
1003417,21.0,779938
1003430,30.0,758658
1003487,108.0,765209
1004638,108.0,776012
1004643,108.0,776010
1004976,108.0,717450
1005023,15.0,777109
10056,1.0,459160
10057,1.0,459981
1007552,96.0,735539
1007553,96.0,715529
1007554,96.0,715537
1007555,80.0,748186
1007556,96.0,715544
1007557,96.0,715526
1007558,96.0,715536
1007559,80.0,748168
1007560,40.0,748204
1007561,64.0,715575
1008921,108.0,768204
1008922,102.0,779873
1008924,108.0,768201
1008926,108.0,684770
1008957,94.0,477835
1008958,80.0,506759
1008962,108.0,768202
1008964,108.0,768207
1009973,27.0,385056
1010843,42.0,781441
1011198,40.0,496472
1011548,668.0,774195
1011676,64.0,706808
1011677,60.0,597255
1011723,96.0,795869
1011724,96.0,689942
1011725,115.0,795319
1011728,96.0,785232
1015834,756.0,719689
1016222,120.0,677485
1018325,160.0,756238
1018410,572.0,623044
1018412,372.0,459808
1018421,173.0,779586
1018701,30.0,777000
1018854,2.0,773439
1018860,100.0,776042
1018861,650.0,754740
1018887,360.0,766507
1018888,360.0,796598
1018889,188.0,507047
1018890,360.0,796600
1018891,360.0,727801
1018895,210.0,766492
1018898,150.0,713571
1018956,100.0,780984
1018968,320.0,735282
1018987,7.0,799747
1018988,60.0,777002
1019021,18.0,712203
1019046,640.0,559974
1019101,96.0,778972
1019109,120.0,598701
1019110,32.0,711540
1019147,32.0,754750
1019266,36.0,518285
1019267,24.0,639725
1019327,50.0,796617
1019526,100.0,779617
1019529,100.0,773418
1019625,25.0,754799
1019779,10.0,664887
1020281,32.0,696713
1020475,1000.0,619257
1020663,2.0,795495
1027421,222.0,774958
1027424,336.0,800947
1027449,102.0,779190
1027492,75.0,801427
1027596,16.0,764217
1027617,6.0,721641
1027635,2.0,640454
1042310,1680.0,800682
1042373,400.0,367968
1042830,96.0,634670
1045649,13.0,701168
1045651,13.0,484409
1045652,7.0,675229
1045660,6.0,440364
1047346,24.0,762747
1047964,12.0,607365
1047965,3.0,804539
1050327,32.0,779922
1054371,120.0,758668
1057243,180.0,800931
1059532,120.0,796679
1063040,2932.0,717638
1063041,2421.0,727624
1063042,1023.0,780540
1063291,108.0,773101
1063293,32.0,779979
1073354,810.0,746653
1073355,477.0,748221
1079339,80.0,752147
1079340,360.0,790457
1081052,120.0,759397
1089401,96.0,785495
1090339,120.0,783279
1100500,30.0,777018
1100642,8.0,651751
1136184,300.0,767041
1136185,1000.0,460122
1136835,108.0,779980
1136837,32.0,779977
1138859,80.0,748190
1138861,96.0,718256
1138863,96.0,735554
1138864,80.0,748160
1138865,96.0,718271
1138867,80.0,748194
1138869,96.0,735556
1138871,96.0,735544
1138872,96.0,718267
1138873,96.0,735540
1138874,64.0,718642
1138875,8.0,718421
1139552,48.0,639465
1139975,336.0,771516
1143045,122.0,773892
1147729,600.0,792917
1147957,300.0,709653
1148209,7.0,793332
1148369,1.0,780457
1148474,8.0,804248
1148531,450.0,680801
1148532,450.0,701709
1148533,330.0,783289
1148538,120.0,783285
1148550,248.0,758039
1148593,108.0,508002
1148598,800.0,676432
1148738,30.0,769262
1148739,90.0,754459
1148740,78.0,754477
1148759,60.0,730505
1148769,10.0,786207
1148785,144.0,796223
1148787,432.0,674309
1148846,20.0,589482
1148856,36.0,658301
1148887,35.0,544262
1148899,144.0,719371
1148900,24.0,719357
1149109,62.0,715643
1149272,50.0,689939
1149358,2.0,780378
1149359,100.0,735303
1149539,480.0,612751
1149540,576.0,780311
1149555,40.0,470260
1149568,2000.0,735124
1149569,1500.0,755437
1149570,1500.0,772434
1149647,1570.0,716494
1149648,2000.0,708695
1149649,1000.0,720920
1149650,3000.0,390229
1149654,200.0,695433
1149655,200.0,708674
1149656,90.0,720898
1149657,60.0,720924
1149658,66.0,721988
1149659,90.0,776382
1149971,20.0,762664
1149972,20.0,669427
1151680,60.0,642935
1152809,24.0,773130
1153493,30.0,720885
1156499,1200.0,646766
1156500,1200.0,704454
1156501,1200.0,767666
1156506,180.0,725801
1156507,240.0,723717
1156509,50.0,767687
1156510,60.0,767675
1156511,660.0,780488
1156513,96.0,646800
1156514,720.0,767693
1156516,96.0,767663
1156527,208.0,779511
1156529,310.0,720483
1156537,128.0,757204
1156538,100.0,775319
1156541,60.0,698104
1156542,48.0,674222
1156543,48.0,513993
1156544,240.0,538896
1156545,120.0,674294
1156546,144.0,552561
1156547,60.0,553568
1156548,104.0,734233
1156549,102.0,704922
1156550,144.0,773400
1156551,48.0,748137
1156560,240.0,796222
1156568,5.0,620823
1156572,96.0,796257
1156573,23.0,683197
1156578,270.0,552313
1156579,540.0,552318
1156965,40.0,779569
1156966,40.0,796224
1157152,200.0,737225
1158352,16.0,628338
1158449,720.0,671091
1158484,7.0,791982
1158614,60.0,759427
1158615,150.0,777013
1158630,1050.0,713081
1158631,2100.0,713095
1158632,1050.0,713091
1159011,8.0,667632
1160463,31.0,641214
1160932,500.0,783267
1160933,768.0,765394
1162775,360.0,779642
1162776,223.0,719680
1162777,270.0,713978
1162778,300.0,698756
1163432,480.0,723776
1163434,96.0,775428
1163437,149.0,755455
1163542,9.0,714699
1163595,84.0,800949
1163599,120.0,660772
1164047,72.0,684573
1164048,72.0,690810
1164687,45.0,691148
1164688,45.0,758336
1164689,45.0,758228
1164699,72.0,779924
1164709,180.0,769273
1164710,240.0,766494
1164725,45.0,681059
1164742,80.0,742452
1164743,80.0,742454
1164744,80.0,777704
1164746,32.0,649306
1164747,40.0,777691
1164893,40.0,752978
1164894,40.0,732492
1165075,192.0,702566
1165186,36.0,758676
1165188,36.0,784045
1165195,480.0,736578
1165198,18.0,720811
1165201,18.0,719528
1165203,19.0,775309
1165205,20.0,715974
1165206,20.0,715981
1165208,20.0,775065
1165211,20.0,720816
1165213,20.0,464081
1165607,5.0,801305
1165608,3.0,707218
1165609,13.0,779570
1165657,162.0,803373
1165677,24.0,780801
1165701,41.0,721941
1165768,516.0,774292
1165773,45.0,702467
