artikelnummer,max,pallid
1000868,40.0,812458
10009,1.0,813201
1002112,41.0,810334
1003404,96.0,814254
1004638,66.0,812669
1011676,56.0,812488
1019529,100.0,812746
1027449,108.0,814240
1027483,308.0,813562
1027489,103.0,814035
1059532,45.0,814223
1063040,155.0,813360
1073355,162.0,814014
1136185,735.0,814258
1136837,14.0,813060
1143045,101.0,812747
1148787,228.0,812790
1148856,23.0,814215
1149109,100.0,814342
1149359,100.0,814307
1156507,156.0,813966
1156527,120.0,813667
1156542,30.0,812670
1156543,44.0,813668
1156545,78.0,814101
1156549,66.0,814583
1156965,40.0,811727
1156966,40.0,804800
1157152,200.0,812393
1158449,189.0,812937
1158630,1050.0,813480
1158632,1050.0,812541
1160933,628.0,813568
1162775,132.0,814048
1162776,300.0,814341
1163595,54.0,814119
1164709,110.0,812620
1164743,30.0,813972
1164744,30.0,813507
1164746,30.0,812569
1164747,36.0,814137
1165607,1.0,812881
1165608,5.0,814302
1165609,13.0,814303
1166691,57.0,814468
1166793,50.0,813596
1166888,45.0,814243
1166912,650.0,814044
1166913,600.0,813857
1166995,29.0,813007
1167258,156.0,814020
1167718,64.0,814021
1167926,20.0,814046
1169717,240.0,812503
1169983,86.0,814489
1171884,1728.0,814259
1171886,1728.0,814260
1171904,3.0,812595
1172041,450.0,814395
1172362,353.0,814028
1172935,310.0,814038
1176493,200.0,812398
1179676,38.0,812584
1179705,96.0,813803
1182782,360.0,812681
1184141,230.0,814090
1184353,456.0,812774
1184925,96.0,814523
1185594,97.0,813134
1186545,6.0,814247
1186570,27.0,814126
1186644,34.0,812680
1196450,20.0,813881
1199302,7.0,812720
1199532,29.0,813995
1199533,8.0,812729
1204909,13.0,813918
1206531,290.0,813622
1206545,15.0,814024
1207274,78.0,814082
1207508,68.0,812897
1220368,110.0,814083
1220387,48.0,813927
1220410,20.0,813965
1221644,25.0,812663
1221651,16.0,813892
1221696,170.0,814574
1221697,800.0,812942
1221703,120.0,813980
1221873,76.0,814565
1221874,34.0,812956
1221977,11.0,812926
1231645,108.0,814539
1231701,414.0,814027
1231702,76.0,812558
1231704,42.0,814050
1235439,30.0,812634
1235440,30.0,812617
1235441,30.0,812644
1235442,30.0,812623
1235444,30.0,804743
1235447,30.0,812626
1235491,74.0,814012
1235861,30.0,812643
1236152,24.0,813686
1236166,24.0,813664
1236167,24.0,813695
1236221,28.0,812328
1236455,24.0,812804
1236519,30.0,812640
1236638,1200.0,813822
1237064,72.0,813790
1237221,165.0,814041
1237305,32.0,814097
1237580,2.0,812796
1237682,30.0,813864
1237849,24.0,814183
1238038,90.0,814009
1238047,30.0,812766
1238058,60.0,814347
1238062,290.0,814310
1238063,110.0,814308
1238134,36.0,813711
1238567,72.0,813783
1238568,96.0,813804
1238583,30.0,812316
1238586,96.0,812561
1238599,348.0,814080
1238600,336.0,814007
1238674,162.0,814564
1238885,35.0,812731
1240268,184.0,813553
1240785,13.0,813181
1241553,24.0,814108
1241745,132.0,813279
1242554,23.0,812744
1242563,24.0,813543
1242565,24.0,813530
1242707,570.0,813536
1243290,30.0,812652
1243552,16.0,814487
1243638,140.0,805900
1243693,102.0,812683
1243700,450.0,814026
1243702,340.0,814225
1243705,360.0,814005
1243716,292.0,814030
1243721,280.0,814099
1243777,96.0,814102
1243857,2080.0,813554
1244007,64.0,813590
1244009,64.0,813586
1244011,4.0,814497
1244013,2.0,812742
1244064,570.0,813519
1244177,30.0,813597
1244183,30.0,813538
1244190,30.0,813540
1244196,30.0,813593
1244197,100.0,813556
1244199,30.0,813592
1244202,30.0,813584
1244214,51.0,813950
1244359,24.0,811707
1244642,288.0,813600
1244730,99.0,814006
1244783,18.0,813964
1244786,3.0,812998
1245037,30.0,814256
1245202,11.0,811489
1245593,7.0,814521
1246449,6.0,813388
1246450,3.0,814091
1247730,60.0,814033
1248494,2.0,814084
1249189,30.0,813557
1249190,30.0,813545
1249657,114.0,814159
1249836410515,6.0,813947
1249848,58.0,812862
1249895,30.0,813585
1250016,50.0,814013
1250150,24.0,813832
1250392,19.0,813724
1250432,179.0,814037
1250436,150.0,812525
1250589,21.0,812673
1250624,116.0,813992
1250697,110.0,814022
1251064536200,24.0,814011
1251064538200,29.0,814085
1251064542200,44.0,814032
1251064543200,32.0,813878
1251064546200,28.0,813991
1251096,60.0,813527
1251097,60.0,813512
1251424,1190.0,814505
1251427,27.0,812932
1251429,187.0,814350
1251540,80.0,814010
1251599543675,31.0,812665
1251660,96.0,814257
1251761,40.0,813767
1251782,40.0,812686
1251840,72.0,812672
1260423,62.0,814351
1260923,113.0,812717
1260924,45.0,814107
1260925,35.0,811829
1260927,36.0,809075
1261656,90.0,813993
1262207,4.0,813929
1262242,5.0,813154
1262538539200,20.0,812586
1262538540200,32.0,812581
1262538546200,41.0,812737
1262917,108.0,813967
1263520,54.0,814216
1265262,108.0,813861
1265372,104.0,813971
1265461,16.0,813500
1266774,54.0,812664
1267001,20.0,814043
1267003,136.0,814025
1267030,227.0,812755
1267148,240.0,812510
1267364,40.0,814034
1268229,21.0,814071
1268237,8.0,813335
1268574,1.0,814180
1268581,15.0,813943
1269175,70.0,814073
1269318,138.0,814036
1269780,360.0,814047
1269959,17.0,813062
1270086,32.0,812533
1270414,197.0,812662
1270706,96.0,814029
1270726,298.0,813579
1290067,96.0,814300
1290102,2400.0,813591
200002113,40.0,812879
200003180,96.0,812871
2000038,1.0,790463
2000043,30.0,813621
200033224,200.0,812585
2000363,32.0,814060
2000423,105.0,813534
2000467,18.0,813143
2000468,9.0,813073
2000586,30.0,812649
2000587,30.0,812603
2000619,47.0,814063
2000636,15.0,813986
2000754,357.0,814051
2000955,31.0,812968
200097620,48.0,812872
200099601,48.0,812777
200103099,96.0,813378
200107103,96.0,813358
200107155,96.0,813390
200108277,44.0,813432
200109189,96.0,813370
200110372,44.0,813382
2001227245200,36.0,814339
2001232888200,575.0,813692
2001280242120,99.0,813996
2001417748200,408.0,812675
2001417750200,150.0,812667
2001417754150,42.0,814001
2001450,12.0,812653
2001928,1.0,814147
2002000,56.0,814239
2002039,8.0,814049
2002049200888,192.0,812502
2002051379888,840.0,812492
2002053200888,176.0,814166
2002055380888,214.0,814100
2002064,25.0,812721
2002107,42.0,814150
2002109,96.0,813968
2002110,126.0,814248
2002157,21.0,812656
2002164,159.0,813569
2002215,75.0,813433
2002332,106.0,814164
2002365543850,23.0,813944
2002365847850,54.0,813601
2002465,71.0,814444
2002486,24.0,814072
2002575716150,9.0,814577
200257730,8.0,813037
2002578413200,5.0,812892
2002634300155,50.0,814169
2002634313155,25.0,812750
2002635718150,48.0,814016
200272149,770.0,813173
200272215,44.0,813149
200273486,44.0,813135
200276164,44.0,813165
200276221,44.0,813125
200276283,44.0,813116
200276342,44.0,813065
200291678,44.0,813137
200291693,120.0,813066
200291915,44.0,813156
200292454,120.0,813124
200296180,120.0,813164
200296216,120.0,813115
200296229,44.0,813161
200296265,420.0,813177
200296334,44.0,813162
200296336,120.0,813136
200296363,120.0,813160
200296395,770.0,813178
200297408,44.0,813168
200297597,120.0,813063
200297646,44.0,813113
200310316,120.0,813133
2003112,17.0,814064
2003113,6.0,812682
2003186207888,68.0,814103
2003232849115,6.0,814040
2003246888200,185.0,813982
2003247756107,420.0,814109
2003250,29.0,812659
2003275187115,192.0,813900
2003276,60.0,813465
2003314753165,140.0,814008
2003543245888,114.0,812914
2003557405165,168.0,813690
2003557748150,60.0,814042
2003673235888,144.0,813988
2003726241888,86.0,814509
2003726249888,21.0,812959
2003727241888,114.0,813945
2005170426888,312.0,813863
2005199202888,399.0,812745
2005297,290.0,814045
2005402245888,38.0,812678
2005423,900.0,814074
2005430,490.0,813691
2005431,300.0,813555
2005436,300.0,813510
2005437,90.0,813497
200602801,44.0,812934
200602810,44.0,812930
200602813,52.0,813715
200619845,4.0,812931
200619850,72.0,812923
200622529,44.0,812917
