artikelnummer,max,pallid
04191-750-34-36,1.0,4172899
04191-750-36-34,1.0,4172850
04191-750-36-36,1.0,4172897
04191-750-38-32,1.0,4172856
04191-750-38-34,1.0,4172885
04191-750-38-36,2.0,3997324
04191-750-40-32,1.0,4172878
04191-750-44-32,1.0,4172846
04191-750-44-34,1.0,4172901
04192-750-25-30,1.0,4172832
04192-750-26-30,1.0,4172872
04192-750-29-30,1.0,4172824
04192-750-31-34,1.0,4172840
04192-750-32-30,1.0,4172837
04192-750-33-34,1.0,4172842
04192-750-35-30,1.0,4172863
100,1.0,4276557
1000000,1.0,2262315
100002,1.0,3972070
100003,1.0,2914854
100004,1.0,2914863
100405,76.0,4299777
10044-019-S,32.0,2621662
10044-389-L,32.0,3244284
10044-389-S,21.0,3244132
10045-019-L,32.0,3244294
10046-019-L,48.0,4039637
10046-019-S,48.0,4039639
10046-389-L,48.0,3244037
10046-389-S,48.0,2955423
10048-016-L,32.0,4289397
10048-016-M,32.0,4289399
10048-016-S,32.0,4289393
10048-019-L,32.0,4039716
10048-019-S,32.0,4039727
10051-019-L,24.0,3163059
10051-019-S,24.0,3163127
10051-389-L,24.0,2658565
10051-389-M,24.0,2658530
10051-389-S,336.0,2621633
10053-019-L,96.0,3163441
10053-019-M,96.0,3162194
10053-019-S,96.0,2652187
10053-389-L,96.0,2652183
10053-389-M,96.0,2712809
10053-389-S,96.0,2712808
1010,1.0,4134871
1102715,1.0,4002807
1102716,1.0,3955019
112668,216.0,4310222
112671,120.0,4154460
114913,4.0,1862451
115759,5.0,1868388
117748,4.0,1862464
120648,8.0,1870238
120730,6.0,1868281
12153-019-4-R,2.0,999123709
12221-067-7.5-R,6.0,2160174
12221-092-6-R,1.0,999123708
122883,1.0,1869791
12309-067-6.5-R,4.0,1936561
12309-067-8-R,1.0,3893733
123130,6.0,1870206
12338-106-12-R,6.0,3046626
12338-106-13-R,6.0,3850486
12380-019-7.5-R,5.0,2664253
12387-019-5-R,1.0,999123753
12391-019-14-R,3.0,3231875
12391-019-5-R,6.0,999123814
12391-019-6-R,3.0,1798237
12391-019-6.5-R,3.0,1798193
12391ABR-019-7-R,1.0,999123786
12391ISO-019-15-R,4.0,999123800
12391ISOABR-019-10-R,3.0,3416640
12391ISOABR-019-10.5-R,3.0,2830798
12391ISOABR-019-11-R,3.0,2831018
12391ISOABR-019-11.5-R,3.0,2830742
12391ISOABR-019-12-R,3.0,2830853
12391ISOABR-019-13-R,3.0,3416837
12391ISOABR-019-14-R,3.0,3416548
12391ISOABR-019-15-R,3.0,2511182
12391ISOABR-019-4-R,3.0,2831047
12391ISOABR-019-5-R,3.0,2104998
12391ISOABR-019-6-R,3.0,3416778
12391ISOABR-019-6.5-R,3.0,3416426
12391ISOABR-019-7-R,3.0,3416111
12391ISOABR-019-7.5-R,3.0,2830730
12391ISOABR-019-8-R,3.0,2830784
12391ISOABR-019-8.5-R,3.0,2830368
12391ISOABR-019-9-R,3.0,2830829
12391ISOABR-019-9.5-R,3.0,2830658
12392-019-6-R,3.0,3975862
12392ABR-019-10-R,54.0,2473901
12392ABR-019-10.5-R,48.0,3730411
12392ABR-019-11-R,54.0,2473928
12392ABR-019-11.5-R,6.0,2474516
12392ABR-019-12-R,54.0,2474423
12392ABR-019-13-R,6.0,2438265
12392ABR-019-14-R,6.0,2474671
12392ABR-019-15-R,4.0,3712413
12392ABR-019-4-R,6.0,2438069
12392ABR-019-5-R,6.0,2474652
12392ABR-019-6-R,6.0,2474519
12392ABR-019-6.5-R,6.0,2474587
12392ABR-019-7-R,54.0,2474402
12392ABR-019-7.5-R,54.0,2474395
12392ABR-019-8-R,54.0,2474400
12392ABR-019-8.5-R,54.0,2474417
12392ABR-019-9-R,6.0,2474613
12392ABR-019-9.5-R,54.0,2474605
12393-106-14-R,4.0,999123893
12393-106-15-R,4.0,999123991
12393ABR-106-10-R,6.0,3033687
12393ABR-106-10.5-R,6.0,3033771
12393ABR-106-11-R,6.0,3132426
12393ABR-106-11.5-R,6.0,2830112
12393ABR-106-12-R,6.0,3132416
12393ABR-106-13-R,6.0,4140859
12393ABR-106-14-R,5.0,3975346
12393ABR-106-15-R,6.0,2690953
12393ABR-106-6-R,5.0,3712531
12393ABR-106-6.5-R,6.0,3033770
12393ABR-106-7-R,6.0,3033641
12393ABR-106-7.5-R,6.0,3033790
12393ABR-106-8-R,6.0,3132431
12393ABR-106-8.5-R,6.0,3132433
12393ABR-106-9-R,6.0,3132423
12393ABR-106-9.5-R,6.0,3033794
12395ABR-106-7-R,4.0,3712704
12401-019-10-R,6.0,3072842
12401-019-6.5-R,5.0,3975823
12401-019-7-R,6.0,2559093
12401-019-7.5-R,5.0,1857041
12401-019-8-R,6.0,2282577
12403ABR-019-10-R,4.0,3975308
12403ABR-019-5-R,2.0,3975259
12403ABR-019-6-R,5.0,3974174
12403ABR-019-6.5-R,6.0,2433524
12403ABR-019-7-R,3.0,4096681
12403ABR-019-9.5-R,1.0,3712867
12411-019-4-R,6.0,3712983
12411-019-5-R,2.0,999124035
12411-019-6-R,2.0,999124037
12411-098-6.5-R,4.0,1936553
12411-098-7.5-R,3.0,1936659
12411-200-6-R,3.0,1936662
12411-200-7-R,4.0,3713175
12411-200-8-R,7.0,999124826
12411-200-8.5-R,4.0,1936573
12415-106-7-R,6.0,701862
12417-120-15-R,54.0,558820
12417-120-4-R,4.0,1936576
12417-120-5-R,3.0,3713195
12417-120-8-R,48.0,2050907
12417ABR-120-10-R,6.0,3480498
12417ABR-120-10.5-R,6.0,2830078
12417ABR-120-11-R,6.0,2840924
12417ABR-120-11.5-R,6.0,3480407
12417ABR-120-12-R,6.0,3897618
12417ABR-120-13-R,6.0,3480403
12417ABR-120-14-R,6.0,2830445
12417ABR-120-15-R,6.0,2559777
12417ABR-120-4-R,4.0,3713126
12417ABR-120-5-R,5.0,3480219
12417ABR-120-6.5-R,6.0,3574627
12417ABR-120-7-R,6.0,3264115
12417ABR-120-7.5-R,6.0,3480236
12417ABR-120-8-R,6.0,3264399
12417ABR-120-8.5-R,6.0,3480496
12417ABR-120-9-R,6.0,3415911
12417ABR-120-9.5-R,6.0,2830049
12420-019-10.5-R,54.0,569963
12420-019-11-R,54.0,569999
12420-019-11.5-R,36.0,568522
12420-019-12-R,54.0,563261
12420-019-13-R,36.0,568398
12420-019-4-R,6.0,3712855
12420-019-5-R,8.0,999124539
12420-019-7.5-R,2.0,2642839
12420-019-9-R,6.0,999124605
12420-019-9.5-R,66.0,1712290
12422-019-10-R,5.0,3712828
12422-019-10.5-R,6.0,3243470
12422-019-11-R,6.0,3314850
12422-019-12-R,6.0,2326677
12422-019-5-R,2.0,4096762
12422-019-6.5-R,6.0,4286032
12422-019-7-R,6.0,3072787
12422-019-8-R,6.0,2438169
12422-019-8.5-R,6.0,4286019
12422-019-9-R,6.0,4285691
12422-019-9.5-R,6.0,3243558
12422-106-10-R,6.0,4286298
12422-106-10.5-R,6.0,4285926
12422-106-11-R,6.0,4285931
12422-106-11.5-R,6.0,4286292
12422-106-12-R,6.0,4285688
12422-106-13-R,6.0,4285659
12422-106-14-R,6.0,2691224
12422-106-6-R,6.0,2788391
12422-106-7-R,6.0,2691198
